objid,inventorynr,inventorynr_sorted,originaltitle,title_de,title_en,production_date,in_exhibition,material_de,material_en,measurement_height,measurement_width,measurement_depth,measurement_unit,description_de,description_en,creditline,acquiry_date,exploitation_rights,default_image,tags
28075,MG 640/0,MG 00640/000,WIR WOLLEN WOHNEN,,WE WANT TO LIVING,1993,no,"Collage, Buchdruck auf Papier","Collage, letterpress on paper",25.0,20.0,,cm,,,Schenkung Alexandra Schlag/donation by Alexandra Schlag,2017,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=28075,
22635,P 691/0,P 00691/000,"Postmodern - 18.April 1989 - Secession, Wien - DAMEN - Stempel",,,1989,no,Stempel,Stamp,11.0,,,cm,,,erworben/acquired in,2015,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=22635,
30926,P 726/0,P 00726/000,Mindfulmess,,,2018,no,Installation mit Tagesbett und Klangstück,Installation with day bed and sound piece,,,,cm,Derzeit ist keine Abbildung verfüg,There is currently no image available.,erworben/acquired in,2018,Hanne Lippard,https://www.mumok.at/imageobject.php?objid=30926,Neuzugänge 2018
30892,MG 688/0,MG 00688/000,Erdkegel,,Earth Cone,1979,no,Mischtechnik auf Transparentfolie,Mixed media on transparent foil,120.0,214.0,,cm,,,Schenkung Hannsjörg Voth/donation by Hannsjörg Voth,2018,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=30892,Neuzugänge 2018
30893,MG 689/0,MG 00689/000,Erdkegel,,Earth Cone,1979,no,Mischtechnik auf Transparentfolie,Mixed media on transparent foil,133.0,80.0,,cm,,,Schenkung Hannsjörg Voth/donation by Hannsjörg Voth,2018,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=30893,Neuzugänge 2018
30894,MG 690/0,MG 00690/000,Erdkegel,,Earth Cone,1979,no,Mischtechnik auf Transparentfolie,Mixed media on transparent foil,70.0,100.0,,cm,,,Schenkung Hannsjörg Voth/donation by Hannsjörg Voth,2018,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=30894,Neuzugänge 2018
30895,MG 691/0,MG 00691/000,Erdkegel,,Earth Cone,1979,no,Mischtechnik auf Transparentfolie,Mixed media on transparent foil,70.0,100.0,,cm,,,Schenkung Hannsjörg Voth/donation by Hannsjörg Voth,2018,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=30895,Neuzugänge 2018
30896,MG 692/0,MG 00692/000,Zenotaph,,,1984,no,Mischtechnik auf Transparentfolie,Mixed media on transparent foil,120.0,180.0,,cm,,,Schenkung Hannsjörg Voth/donation by Hannsjörg Voth,2018,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=30896,Neuzugänge 2018
30897,MG 693/0,MG 00693/000,Zenotaph,,,1983 - 1984,no,Mischtechnik auf Transparentpapier,Mixed media on tracing paper,42.2,30.0,,cm,,,Schenkung Hannsjörg Voth/donation by Hannsjörg Voth,2018,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=30897,Neuzugänge 2018
30898,MG 694/0,MG 00694/000,Zenotaph,,,1983 - 1984,no,Mischtechnik auf Transparentpapier,Mixed media on tracing paper,42.0,29.6,,cm,,,Schenkung Hannsjörg Voth/donation by Hannsjörg Voth,2018,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=30898,Neuzugänge 2018
30899,MG 695/0,MG 00695/000,Zenotaph,,,1983 - 1984,no,Mischtechnik auf Transparentpapier,Mixed media on tracing paper,29.7,42.2,,cm,,,Schenkung Hannsjörg Voth/donation by Hannsjörg Voth,2018,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=30899,Neuzugänge 2018
30900,MG 696/0,MG 00696/000,Zenotaph,,,1983 - 1984,no,Mischtechnik auf Transparentpapier,Mixed media on tracing paper,29.4,42.1,,cm,,,Schenkung Hannsjörg Voth/donation by Hannsjörg Voth,2018,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=30900,Neuzugänge 2018
30901,MG 697/0,MG 00697/000,o.T.,,,1973,no,Mischtechnik auf Transparentpapier,Mixed media on tracing paper,50.0,50.0,,cm,Derzeit ist keine Abbildung verfügbar.,There is currently no image available.,Schenkung Hannsjörg Voth/donation by Hannsjörg Voth,2018,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=30901,Neuzugänge 2018
30902,MG 698/0,MG 00698/000,o.T.,,,1973,no,"Bleistift, Silberbronze auf Transparentfolie","Pencil, silver bronze on transparent foil",97.0,90.0,,cm,,,Schenkung Hannsjörg Voth/donation by Hannsjörg Voth,2018,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=30902,Neuzugänge 2018
30903,MG 699/0,MG 00699/000,o.T.,,,1973,no,Mischtechnik auf Transparentfolie,Mixed media on transparent foil,100.0,70.0,,cm,,,Schenkung Hannsjörg Voth/donation by Hannsjörg Voth,2018,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=30903,Neuzugänge 2018
30904,MG 700/0,MG 00700/000,Verschnürte Kegel,,Tied Cones,1973,no,"Bleistift, Silber, Öl auf Transparentpapier","pencil, silver, oil on tracing paper",220.0,120.0,,cm,,,Schenkung Hannsjörg Voth/donation by Hannsjörg Voth,2018,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=30904,Neuzugänge 2018
30905,MG 701/0,MG 00701/000,Flugobjekt (unvollendet),,Flight Object (unfinished),1973,no,Mischtechnik auf Transparentpapier,Mixed media on tracing paper,177.0,155.0,,cm,,,Schenkung Hannsjörg Voth/donation by Hannsjörg Voth,2018,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=30905,
30906,MG 702/0,MG 00702/000,o.T.,,,1974,no,Bleistift auf Transparentfolie,Pencil on transparent foil,100.0,70.0,,cm,,,Schenkung Hannsjörg Voth/donation by Hannsjörg Voth,2018,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=30906,Neuzugänge 2018
30907,MG 703/0,MG 00703/000,o.T.,,,1974,no,Bleistift auf Transparentfolie,Pencil on transparent foil,100.0,70.0,,cm,,,Schenkung Hannsjörg Voth/donation by Hannsjörg Voth,2018,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=30907,Neuzugänge 2018
30908,MG 704/0,MG 00704/000,o.T.,,,1974,no,"Mischtechnik, Bleistift auf Transparentfolie","Mixed media, pencil on transparent foil",100.0,70.0,,cm,,,Schenkung Hannsjörg Voth/donation by Hannsjörg Voth,2018,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=30908,Neuzugänge 2018
30909,MG 705/0,MG 00705/000,Boot aus Stein,,Boat of Stone,1981 - 1982,no,Mischtechnik auf Transparentfolie,Mixed media on transparent foil,120.0,240.0,,cm,,,Schenkung Hannsjörg Voth/donation by Hannsjörg Voth,2018,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=30909,Neuzugänge 2018
30910,MG 706/0,MG 00706/000,Boot aus Stein,,Boat of Stone,1981,no,Mischtechnik auf Transparentfolie,Mixed media on transparent foil,70.0,100.0,,cm,,,Schenkung Hannsjörg Voth/donation by Hannsjörg Voth,2018,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=30910,Neuzugänge 2018
30911,MG 707/0,MG 00707/000,Boot aus Stein,,Boat of Stone,1980,no,Mischtechnik auf Transparentfolie,Mixed media on transparent foil,70.0,100.0,,cm,,,Schenkung Hannsjörg Voth/donation by Hannsjörg Voth,2018,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=30911,Neuzugänge 2018
30912,MG 708/0,MG 00708/000,Scheitelhaltung,,,1990,no,Mischtechnik auf Transparentfolie,Mixed media on transparent foil,120.0,195.0,,cm,,,Schenkung Hannsjörg Voth/donation by Hannsjörg Voth,2018,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=30912,Neuzugänge 2018
30913,MG 709/0,MG 00709/000,Scheitelhaltung,,,1990,no,Mischtechnik auf Transparentpapier,Mixed media on tracing paper,62.0,45.0,,cm,,,Schenkung Hannsjörg Voth/donation by Hannsjörg Voth,2018,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=30913,Neuzugänge 2018
30914,MP 122/0,MP 00122/000,Erdkegel - Modell,,Earth Cone - Model,1978,no,"Holz, Farbe","Wood, paint",29.0,102.0,102.0,cm,Derzeit ist keine Abbildung verfügbar.,There is currently no image available.,Schenkung Hannsjörg Voth/donation by Hannsjörg Voth,2018,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=30914,Neuzugänge 2018
30915,MP 123/0,MP 00123/000,Zenotaph - Modell,,,1982,no,"Holz, Sand, Acrylglas, Farbe","Wood, sand, acylic glass, paint",18.0,99.5,199.7,cm,Derzeit ist keine Abbildung verfügbar.,There is currently no image available.,Schenkung Hannsjörg Voth/donation by Hannsjörg Voth,2018,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=30915,Neuzugänge 2018
23039,G 1337/2,G 01337/002,Aus gegebenem Anlaß - 8.Jänner 1988 - Projekt Westbahnhof,,,1988,no,Postkarte,Postcard,10.8,14.8,,cm,"Die vier Künstlerinnen Ona B., Evelyn Egerer, Birgit Jürgenssen und Ingeborg Strobl veranstalten am 8. Januar 1988 ihre erste gemeinsame Aktion im Bahnhofsrestaurant des Wiener Westbahnhofes unter dem Titel „Aus gegebenem Anlass“. Dazu lassen sie eine Postkarte drucken, auf dem sie sich in Anlehnung an ein Foto aus dem Jahr 1968 von Christian Skrein inszenieren. Die damalige Avantgarde der Wiener Kunstszene, wie Christian Ludwig Attersee oder Oswald Wiener ließ sich von Skrein auf Regiestühlen sitzend unter dem Motto „Wir nicht“ für ein Plakat ablichten, über ihren Köpfen wird der Name notiert. Während alle männlichen Künstler mit ihrem Nachnamen bezeichnet sind, wird die einzige Frau auf diesem Foto nur mit ihrem Vornamen, Ingrid, benannt und damit gegenüber den Männern als mehr oder weniger bedeutungslos gekennzeichnet . Die Aktion von DIE DAMEN zwanzig Jahre später ist eine humorvoll ätzende  Persiflage. Neben den Namen der Künstlerinnen findet sich noch der Zusatz: „Die Vier neuen Mitglieder des Ersten Wiener Männergesangvereins"", als die sie sich bei der Präsentation der Postkarte vorstellen. Im Jahr darauf veranstalten die Künstlerinnen die Aktion „Postmodern“ in der Wiener Secession und etablieren damit ihren Gruppennamen mit Briefmarke und Stempel.Die ironisch-kritische Selbstinszenierung wird in der Folge zu einem charakteristischen Mittel der Künstlerinnengruppe DIE DAMEN.  Sie kommentieren die von Männern dominierte Wiener Kunstszene genauso wie Politik und Gesellschaft. Mit den ästhetischen Mitteln der inszenierten Performance und des parodistischen Events bewegen sie sich an Schnittstellen von bildender Kunst, Mode, Design und Werbung. Gleichzeitig thematisieren sie die Grenzüberschreitungen der Geschlechterrollen. Bezeichnenderweise wird 1993 an Stelle von Ingeborg Strobl der New Yorker Künstler Lawrence Weiner viertes Mitglied von Die DAMEN.","The four women artists, Ona B., Evelyn Egerer, Birgit Jürgenssen and Ingeborg Strobl, carried out their first joint action in the railway restaurant of Vienna’s Westbahnhof [West Terminal]. It was entitled “Aus gegebenem Anlass” [For Good Reasons]. In addition, they published a postcard in which they posed in a manner that echoed a 1968 photograph taken by Christian Skrein. The avantgarde of the ‘Viennese art scene at the time such as Christian Ludwig Attersee or Oswald Wiener had themselves photographed by Skrein for a poster with the slogan “Wir nicht” [Not Us]. They sat on director’s chairs and their names appeared above their heads. While each of the male artists was named by his last family name, just the first name – Ingrid – was given to the only woman on the photo, thus establishing her almost complete lack of importance as far as the others were concerned. The ‘DIE DAMEN’ action twenty years later is a humorous and biting send-up. In addition to the names of the artists there is an additional sentence stating: ‘The four new members of the First Viennese Men’s Choir’ which is how they introduced themselves at the presentation of the postcard. The following year the artists staged the action, ‘Postmodern’ in the Vienna Secession and established the name of the group with both a postage and a rubber stamp.The ironic and critical self-staging was to become a characteristic method employed by the artist group ‘DIE DAMEN’. They commented on the male-dominated Viennese art scene as well as politics and society in general. Using the aesthetic resources of staged performances and parody-based events they took a position at the interface of visual arts, fashion, design and advertising while at the same time emphasising that gender roles were not issues limited to any specific area.Significantly, in 1993, New York artist Lawrence Weiner replaced Ingeborg Strobl to become the fourth member of DIE DAMEN.",erworben/acquired in,2015,Bildrecht,https://www.mumok.at/imageobject.php?objid=23039,Neuzugänge 2015
23040,G 1337/3,G 01337/003,Aus gegebenem Anlaß - 8.Jänner 1988 - Projekt Westbahnhof,,,1988,no,Einladungskarte,Invitation card,10.2,14.7,,cm,,,erworben/acquired in,2015,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=23040,Neuzugänge 2015
23043,P 691/3,P 00691/003,"Postmodern - 18.April 1989 - Secession, Wien",,,1989,no,"Video, Farbe, Ton, 12 min 17 s","Video, color, sound, 12 min 17 sec",,,,,,,erworben/acquired in,2015,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=23043,
23027,MAV 60/0,MAV 00060/000,Förar,,,2012,no,"4k auf HD-Video, Farbe, Ton, 16 min 32 s","4k on HD-video, color, sound, 16 min 32 sec",,,,,"In „Förår“ bildet ein vorfrühlingshafter Landschafts- und Lebensraum das Grundthema. Das titelgebende schwedische Wort „förår“ ist dem bäuerlichen Vokabular entnommen und meint die Zeit vor dem Beginn der Aussaat und der kommenden Feldarbeiten. Von vorfrühlingshafter Idylle ist in der verdorrten und kargen Landschaft nichts zu sehen, vielmehr ist es eine Zeit der Erwartung, genauso wie das junge Mädchen, das im Mittelpunkt des Films steht, vor der Pubertät und dem damit verbundenen Wendepunkt in ihrem Leben gezeigt wird. Die Kamera folgt ihr auf Streifzügen durch das Dorf und auf langen, scheinbar ziellosen Märschen quer durch die leere weite Landschaft.  Das karge Lebensumfeld, das nichts mit den Vorstellungen einer bunten Kinderwelt gemein hat, abweisende Landschaften und häusliche Momente vermitteln eine Kommunikationslosigkeit, in der das Mädchen auf sich allein gestellt bleibt. In beiläufigen Szenen mit Freund_innen kündigen sich immer wieder auch Akte der Aggression und Gewalt an, die bereits im kindlichen Spiel den Ernst des Lebens vorwegnehmen. Die Intensität des Films kann dadurch Formen des Unheimlichen annehmen, eigentlich unschuldige Gesten wirken plötzlich merkwürdig deplatziert, sogar bedrohlich. Beispielhaft steht hierfür die Schlusssequenz des Films, in der das Mädchen mit einem schweren Jagdgewehr in den Armen scheinbar zielgerichtet und verloren zugleich die Hauptstraße des Dorfes einer unbekannten Bestimmung entgegengeht.","„Förår“ is grounded in an early spring landscape and environment. The Swedish word “förar” is taken from the language of farming, where it denotes the period just before sowing and work on the fields begins. The barren and frozen landscape has no sense of an early spring idyll. Instead this is an expectant time, in which a young girl, the film’s central character, is approaching puberty and the moment of transition that this will mean in her life. The camera follows her as she wanders through the village and takes long and seemingly aimless walks across the empty fields. This tough environment has nothing in common with notions of a carefree and happy childhood. Unwelcoming landscapes and domestic scenes show an absence of communication in which the girl is left to herself. Casual scenes with friends are frequently marked by acts of aggression and force that show that the serious side of life is already evident in children’s play. The intensity of the film becomes uncanny, and apparently innocent gestures seen strangely out of place and even threatening. The film’s final sequence is a good example—the girl is seen walking down the village’s main street, carrying a heavy hunting gun, seeming both to have a clear goal in mind and yet also to be lost in the face of an unknown destiny.","museum moderner kunst stiftung ludwig wien, MMK  Museum für Moderne Kunst Frankfurt am MainSchenkung Bâloise-Gruppe und Basler Versicherungen Österreich/donation by Bâloise-Gruppe and Basler Versicherungen Austria",2015,John Skoog,https://www.mumok.at/imageobject.php?objid=23027,
31750,G 1387/0,G 01387/000,O.T.,,,1987,no,"Metallpulver, Lack, Tusche und Gouache auf Papier","Metal powder, lacquer, india ink and gouache on paper",,,,,,,erworben mit Unterstützung des mumok Boards/acquired with support of mumok Board,2018,Nachlass Bruno Gironcoli,https://www.mumok.at/imageobject.php?objid=31750,Neuzugänge 2018
28918,ÖL-Stg 498/4,ÖL-Stg 00498/004,Bohnenpflanze – Keimung,,Bean plant - Germination,1976,no,S/W Fotografie,b/w photograph,18.0,24.0,,cm,Aus urheberrechtlichen Gründen dürfen wir dieses Werk leider nicht abbilden.,Due to copyright restrictions there is no image of this work.,"Leihgabe der Österreichischen Ludwig-Stiftung/On loan from the Austrian Ludwig Foundation, seit/since",2018,,https://www.mumok.at/imageobject.php?objid=28918,Neuzugänge 2018
28919,ÖL-Stg 498/5,ÖL-Stg 00498/005,Bohnenpflanze – Keimung,,Bean plant - Germination,1976,no,S/W Fotografie,b/w photograph,18.0,24.0,,cm,Aus urheberrechtlichen Gründen dürfen wir dieses Werk leider nicht abbilden.,Due to copyright restrictions there is no image of this work.,"Leihgabe der Österreichischen Ludwig-Stiftung/On loan from the Austrian Ludwig Foundation, seit/since",2018,,https://www.mumok.at/imageobject.php?objid=28919,Neuzugänge 2018
28921,ÖL-Stg 499/1,ÖL-Stg 00499/001,Aktion an der Temesch,,Action at the Temesch,1976,no,S/W Fotografie,b/w photograph,24.0,30.0,,cm,Aus urheberrechtlichen Gründen dürfen wir dieses Werk leider nicht abbilden.,Due to copyright restrictions there is no image of this work.,"Leihgabe der Österreichischen Ludwig-Stiftung/On loan from the Austrian Ludwig Foundation, seit/since",2018,,https://www.mumok.at/imageobject.php?objid=28921,Neuzugänge 2018
28927,ÖL-Stg 500/0,ÖL-Stg 00500/000,"Karfiol, Bohnen",,"Cauliflower, beans",1977,no,"Diaserie, 40 Dias überarbeitet","Slide series, 40 slides revised",,,,,Aus urheberrechtlichen Gründen dürfen wir dieses Werk leider nicht abbilden.,Due to copyright restrictions there is no image of this work.,"Leihgabe der Österreichischen Ludwig-Stiftung/On loan from the Austrian Ludwig Foundation, seit/since",2018,,https://www.mumok.at/imageobject.php?objid=28927,Neuzugänge 2018
26047,MP 101/0,MP 00101/000,Phallic Shoe,Phallischer Schuh,,1966,no,"Schuh, Goldbronze, Stoff","Shoe, gold bronze, fabric",14.5,8.0,24.0,cm,,,Schenkung Hildegard Helga Hahn/donation by Hildegard Helga Hahn,2017,Yayoi Kusama,https://www.mumok.at/imageobject.php?objid=26047,"Skulptur, Amerika, Japan, Performance, Objekt, Plastik, Mode"
25801,MG 602/0,MG 00602/000,"Direct Art Festival im Porrhaus, 9.11.1967",,,1967 (2015),no,"15 S/W Fotografien, Leinenmappe","15 b/w photographs, linen portfolio",20.2,30.1,,cm,,,Schenkung René Prassé/donation by René Prassé,2017,"Günter Brus/Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=25801,
27890,MP 119/0,MP 00119/000,Character Posters: Amos' World,,,2018,no,"Acrylbox, Light Gel, Styrofoam, Posterdruck","Acrylic box, light gel, styrofoam, poster print",22.0,30.7,9.7,cm,,,Schenkung der Künstlerin/donation of the artist,2018,Cécile B. Evans,https://www.mumok.at/imageobject.php?objid=27890,Neuzugänge 2018
28076,MG 641/0,MG 00641/000,Grinsende Männer,,Grinning men,1995,no,Collage auf Papier,Collage on paper,20.2,25.1,,cm,,,Schenkung Alexandra Schlag/donation by Alexandra Schlag,2017,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=28076,
28077,MG 642/0,MG 00642/000,Kunst - intern,,Art - internally,2000,no,"Collage, Aquarell auf Papier","Collage, watercolor on paper",17.0,38.5,,cm,,,Schenkung Alexandra Schlag/donation by Alexandra Schlag,2017,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=28077,
28078,MG 643/0,MG 00643/000,ALLES NICHTS gewesen,,,2007,no,"Aquarell, Collage, Schreibmaschine auf Papier","Watercolor, collage, typewriter on paper",14.5,10.3,,cm,,,Schenkung Alexandra Schlag/donation by Alexandra Schlag,2017,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=28078,
28079,MG 644/0,MG 00644/000,rot und blau und grün,,red and blue and green,2009,no,"Acryl, Collage, Schreibmaschine auf Papier","Acrylic, collage, typewriter on paper",34.7,27.9,,cm,,,Schenkung Alexandra Schlag/donation by Alexandra Schlag,2017,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=28079,
28081,MG 645/0,MG 00645/000,Was man schafft...,,,2009,no,"Acryl, Collage auf Kunststoffblatt","Acrylic, collage on plastic sheet",20.8,29.8,,cm,,,Schenkung Alexandra Schlag/donation by Alexandra Schlag,2017,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=28081,
28082,MG 646/0,MG 00646/000,Basilikum bremst...,,,2010,no,"Collage, Aquarell auf Papier","Collage, watercolor on paper",14.8,21.0,,cm,,,Schenkung Alexandra Schlag/donation by Alexandra Schlag,2017,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=28082,
27899,MB 98/0,MB 00098/000,Borsani,,,2017,no," Filzstift, Acrylfarbe, Holz, Glas","Felt pen, acrylic paint, wood, glass",,,,,,,Schenkung Julian Turner/donation by Julian Turner,2018,Julian Turner,https://www.mumok.at/imageobject.php?objid=27899,Neuzugänge 2018
27982,G 1379/1,G 01379/001,"„Tea Party, ou Le Thé chez Angelina“, Figurengruppe von Niki de Saint Phalle","„Tea Party, ou Le Thé chez Angelina“, Figurengruppe von Niki de Saint Phalle","""Tea Party, ou Le Thé chez Angelina"", Sculptures by Niki de Saint Phalle",1979,no,S/W Vintage Print,b/w vintage print,18.0,19.2,,cm,,,erworben/acquired in,2018,Valerie Loudon,https://www.mumok.at/imageobject.php?objid=27982,Neuzugänge 2018
27983,G 1379/2,G 01379/002,„Football Vignette“ von Duane Hanson,„Football Vignette“ von Duane Hanson,"""Football Vignette"" by Duane Hanson",1979,no,S/W Vintage Print,b/w vintage print,,,,,,,erworben/acquired in,2018,Valerie Loudon,https://www.mumok.at/imageobject.php?objid=27983,Neuzugänge 2018
27984,G 1379/3,G 01379/003,"Bundesministerin Dr. Hertha Firnberg, Prof. Dr. Hermann Fillitz und das Ehepaar Ludwig beim Kaffee","Bundesministerin Dr. Hertha Firnberg, Prof. Dr. Hermann Fillitz und das Ehepaar Ludwig beim Kaffee","Minister Dr. Hertha Firnberg, Prof. Dr. Hermann Fillitz, and Peter and Irene Ludwig Having Coffee",1979,no,S/W Vintage Print,b/w vintage print,18.1,19.3,,cm,,,erworben/acquired in,2018,Valerie Loudon,https://www.mumok.at/imageobject.php?objid=27984,Neuzugänge 2018
27964,G 1372/0,G 01372/000,Runde Formen Album,,,1988 - 1989,no,"Album gebunden in Satin, bestickt, 22 S/W Fotografien, Buntstiftzeichnungen, Videodokumentation","Album bound in satin, embroidered, 22 b / w photographs, crayon drawings, video documentary",9.0,13.0,,cm,,,erworben/acquired in,2018,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=27964,Neuzugänge 2018
27965,G 1373/0,G 01373/000,O.T. (aus der Serie zwei Frauen),,,2001,no,C-Print auf Aluminium,C-print on aluminum,,,,,,,erworben/acquired in,2018,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=27965,Neuzugänge 2018
27966,B 1052/0,B 01052/000,Freundschaft,,Friendship,2017,no,Verschiedene Materialien,Various materials,,,,,,,erworben mit Unterstützung der Gesellschaft der Freunde der bildenden Künste/acquired with support of the Society of the Friends of Fine Arts Vienna,2018,Julian Turner,https://www.mumok.at/imageobject.php?objid=27966,Neuzugänge 2018
27967,B 1053/0,B 01053/000,Support your local Nightshop,,,2017,no,Verschiedene Materialien,Various materials,,,,,,,erworben mit Unterstützung der Gesellschaft der Freunde der bildenden Künste/acquired with support of the Society of the Friends of Fine Arts Vienna,2018,Julian Turner,https://www.mumok.at/imageobject.php?objid=27967,Neuzugänge 2018
27985,G 1379/4,G 01379/004,Gruppenfoto mit Bundesministerin Firnberg,Gruppenfoto mit Bundesministerin Firnberg,Group Photo With Minister Dr. Herta Firnberg,1979,no,S/W Vintage Print,b/w vintage print,,,,,,,erworben/acquired in,2018,Valerie Loudon,https://www.mumok.at/imageobject.php?objid=27985,Neuzugänge 2018
27986,G 1379/5,G 01379/005,Unterrichtsminister Dr. Fred Sinowatz und Finanzminister Dr. Hannes Androsch,Unterrichtsminister Dr. Fred Sinowatz und Finanzminister Dr. Hannes Androsch,Minister of Education Dr. Fred Sinowatz and Minisiter of Finances Dr. Hannes Androsch,1979,no,S/W Vintage Print,b/w vintage print,,,,,,,erworben/acquired in,2018,Valerie Loudon,https://www.mumok.at/imageobject.php?objid=27986,Neuzugänge 2018
27987,G 1379/6,G 01379/006,"""Woman in a Restaurant Booth"", George Segal Kopie im Kaffeehaus",,"""Woman in a Restaurant Booth"" by George Segal, Copy in the Palais Liechtenstein Coffee House",1979,no,S/W Vintage Print,b/w vintage print,,,,,,,erworben/acquired in,2018,Valerie Loudon,https://www.mumok.at/imageobject.php?objid=27987,Neuzugänge 2018
31787,MG 721/0,MG 00721/000,Diagrams,Diagramme,,2007,no,5 Siebdrucke auf Papier,5 silkscreens on paper,60.0,50.0,,cm,,,Schenkung Martin Beck/donation by Martin Beck,2019,Martin Beck,https://www.mumok.at/imageobject.php?objid=31787,
27526,B 1047/0,B 01047/000,Ohne Titel,,Untitled,2017,no,Silber auf Messing (Zementation),Silver on brass (cementation),100.0,67.0,,cm,,,"erworben mit Unterstützung des BKA, Sektion Kunst/acquired with support of BKA, Sektion Kunst",2017,Michael Part,https://www.mumok.at/imageobject.php?objid=27526,Neuzugänge 2017
27527,B 1048/0,B 01048/000,Ohne Titel,,Untitled,2017,no,Silber auf Messing (Zementation),Silver on brass (cementation),100.0,67.0,,cm,Derzeit keine Abbildung verfügbar.,Currently no image available.,"erworben mit Unterstützung des BKA, Sektion Kunst/acquired with support of BKA, Sektion Kunst",2017,Michael Part,https://www.mumok.at/imageobject.php?objid=27527,Neuzugänge 2017
27543,B 1049/0,B 01049/000,Kanal Abschnitt I,,Channel section I,2017,no,"Relief, Korrosionsschutzfarbe auf verzinktem Stahlblech","Relief, corrosion protection paint on galvanized steel plate",220.0,74.5,2.5,cm,Derzeit ist keine Abbildung verfügbar.,Currently no image available.,"erworben mit Unterstützung des BKA, Sektion Kunst/acquired with support of BKA, Sektion Kunst",2017,Florian Pumhösl,https://www.mumok.at/imageobject.php?objid=27543,Neuzugänge 2017
28822,MG 675/0,MG 00675/000,SHOWING ELLE MAGAZIN,,,1978,no,Siebdruck auf Papier,Silkscreen on paper,71.0,100.0,,cm,Aus urheberrechtlichen Gründen dürfen wir dieses Werk leider nicht abbilden.,Due to copyright restrictions there is no image of this work.,Schenkung aus der Sammlung Dr. Heidi Fazekas/donation from the collection Dr. Heidi Fazekas,2018,,https://www.mumok.at/imageobject.php?objid=28822,Neuzugänge 2018
28823,MG 676/0,MG 00676/000,"Body scan, sorrow (Tomislav Gotovac)","Körperscan, Trauer (Tomislav Gotovac)",,2005 (2013),no,"Pigmentdruck, Photo Rag, Pigmentzeichnung","Pigment print, photo rag, pigment drawing",25.0,62.5,,cm,,,Schenkung aus der Sammlung Dr. Heidi Fazekas/donation from the collection Dr. Heidi Fazekas,2018,Sandro Đukić,https://www.mumok.at/imageobject.php?objid=28823,Neuzugänge 2018
28824,MG 677/0,MG 00677/000,Daydream XI / arch_020_221_0238,Tagtraum XI / arch_020_221_0238,,2015,no,"Mischtechnik, Pigmentdruck, Photo Rag, Acrylfarbe","Mixed media, pigment print, photo rag, acrylic paint",42.0,102.5,,cm,,,Schenkung aus der Sammlung Dr. Heidi Fazekas/donation from the collection Dr. Heidi Fazekas,2018,Sandro Đukić,https://www.mumok.at/imageobject.php?objid=28824,Neuzugänge 2018
28825,MB 104/0,MB 00104/000,Making Democracy Work,Demokratie funktionieren lassen,,2012,no,"Silbergelatine-Print, Leinen, Dibond, MDF","Gelatin silver print, linen, dibond, MDF",37.0,73.0,3.0,cm,,,Schenkung aus der Sammlung Dr. Heidi Fazekas/donation from the collection Dr. Heidi Fazekas,2018,Ulrich Gebert,https://www.mumok.at/imageobject.php?objid=28825,Neuzugänge 2018
